                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0652,                 2.3672,                 1.4791,                0.63429,                0.62007,                0.66517,                0.37763,                 1.1832,                 2.0145,                 1.7323,             0.00041139,             0.00041139,             0.00041139
                      2,                 1.1234,                 1.7035,                 1.4917,                0.68019,                 0.6119,                0.63309,                0.33756,                 1.4298,                 1.8136,                 2.0919,             0.00082533,             0.00082533,             0.00082533
                      3,                 1.1496,                 1.6111,                 1.5127,                0.42734,                 0.4691,                0.41166,                0.22328,                 1.4994,                 2.8995,                 2.1896,              0.0012365,              0.0012365,              0.0012365
                      4,                   1.18,                 1.5152,                  1.542,                0.64213,                 0.5824,                 0.6252,                0.32063,                 1.6284,                 1.8036,                 2.2569,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.1658,                 1.4157,                 1.5007,                0.66699,                0.63403,                0.68277,                0.39245,                 1.3263,                 1.4693,                 1.8384,              0.0012335,              0.0012335,              0.0012335
                      6,                  1.125,                 1.2853,                 1.4849,                 0.7048,                0.63953,                0.69244,                0.40268,                 1.4147,                  1.441,                 1.9139,              0.0012294,              0.0012294,              0.0012294
                      7,                  1.121,                  1.245,                 1.4913,                0.74825,                0.70295,                0.80025,                0.49933,                 1.3241,                 1.3609,                 1.8561,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.1353,                 1.1873,                 1.4811,                0.80267,                0.62435,                0.73909,                0.43252,                 1.4085,                 1.3584,                 1.9368,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.0807,                 1.0952,                 1.4431,                0.75671,                0.71192,                0.77936,                0.46213,                 1.3328,                  1.306,                 1.8377,               0.001217,               0.001217,               0.001217
                     10,                 1.0807,                  1.063,                 1.4343,                 0.8342,                 0.7865,                0.84605,                0.55535,                 1.1706,                0.99272,                 1.6571,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.0827,                 1.0198,                 1.4199,                0.83909,                 0.7743,                0.83262,                0.50663,                 1.2923,                0.98715,                 1.8082,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.0452,                 1.0155,                 1.4083,                0.87847,                0.81686,                 0.8843,                0.57673,                 1.1981,                0.90601,                 1.7209,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.0586,                0.99172,                  1.414,                0.85303,                0.78985,                0.84668,                 0.5226,                 1.3153,                0.98575,                 1.8548,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.0314,                0.93423,                 1.3909,                0.81003,                0.74467,                0.81884,                0.53285,                 1.2118,                 1.0175,                 1.6859,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.0435,                0.94939,                 1.4052,                0.82646,                0.76567,                0.83377,                0.50925,                 1.3236,                0.98825,                 1.8319,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.0146,                0.90103,                 1.3788,                0.89685,                0.81989,                0.90148,                0.61879,                 1.0764,                0.78786,                 1.5758,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.0147,                0.90383,                 1.3827,                0.83511,                0.75103,                0.83239,                0.54302,                 1.2773,                0.98897,                 1.7346,               0.001184,               0.001184,               0.001184
                     18,                 1.0191,                0.88136,                 1.3755,                0.89757,                  0.772,                0.86484,                0.58079,                 1.1399,                 0.8874,                 1.6111,              0.0011799,              0.0011799,              0.0011799
                     19,                0.99469,                0.86422,                 1.3684,                0.87559,                0.79885,                0.88031,                0.61063,                 1.0853,                0.79392,                 1.5817,              0.0011757,              0.0011757,              0.0011757
                     20,                0.98025,                0.84053,                 1.3582,                0.94395,                0.80317,                0.90228,                0.61122,                 1.1358,                0.77813,                 1.6204,              0.0011716,              0.0011716,              0.0011716
                     21,                0.97349,                0.81138,                 1.3522,                0.79434,                 0.8215,                0.87731,                0.60295,                 1.1292,                0.85582,                 1.6327,              0.0011675,              0.0011675,              0.0011675
                     22,                0.99433,                0.83286,                 1.3641,                0.83472,                 0.7952,                  0.852,                0.54564,                 1.2353,                0.93289,                 1.7598,              0.0011634,              0.0011634,              0.0011634
                     23,                0.96011,                0.79561,                 1.3418,                0.85199,                0.81511,                0.88868,                0.60945,                 1.1483,                0.84206,                 1.6468,              0.0011593,              0.0011593,              0.0011593
                     24,                0.96423,                0.79681,                  1.343,                0.91231,                0.81399,                 0.8887,                 0.6118,                 1.1021,                0.77975,                 1.5768,              0.0011551,              0.0011551,              0.0011551
